group_name,major_name,major_code,major_url
"Khoa học giáo dục và Đào tạo giáo viên","Giáo dục học","7140101","https://trangedu.com/nganh/giao-duc-hoc/"
"Khoa học giáo dục và Đào tạo giáo viên","Công nghệ giáo dục","7140103","https://trangedu.com/nganh/cong-nghe-giao-duc/"
"Khoa học giáo dục và Đào tạo giáo viên","Quản lý giáo dục","7140114","https://trangedu.com/nganh/quan-ly-giao-duc/"
"Khoa học giáo dục và Đào tạo giáo viên","Giáo dục Mầm non","7140201","https://trangedu.com/nganh/giao-duc-mam-non/"
"Khoa học giáo dục và Đào tạo giáo viên","Giáo dục Tiểu học","7140202","https://trangedu.com/nganh/giao-duc-tieu-hoc/"
"Khoa học giáo dục và Đào tạo giáo viên","Giáo dục Đặc biệt","7140203","https://trangedu.com/nganh/giao-duc-dac-biet/"
"Khoa học giáo dục và Đào tạo giáo viên","Giáo dục Công dân","7140204","https://trangedu.com/nganh/giao-duc-cong-dan/"
"Khoa học giáo dục và Đào tạo giáo viên","Giáo dục Chính trị","7140205","https://trangedu.com/nganh/giao-duc-chinh-tri/"
"Khoa học giáo dục và Đào tạo giáo viên","Giáo dục Thể chất","7140206","https://trangedu.com/nganh/giao-duc-the-chat/"
"Khoa học giáo dục và Đào tạo giáo viên","Giáo dục Quốc phòng - An ninh","7140208","https://trangedu.com/nganh/giao-duc-quoc-phong-an-ninh/"
"Khoa học giáo dục và Đào tạo giáo viên","Sư phạm Toán học","7140209","https://trangedu.com/nganh/su-pham-toan-hoc/"
"Khoa học giáo dục và Đào tạo giáo viên","Sư phạm Tin học","7140210","https://trangedu.com/nganh/su-pham-tin-hoc/"
"Khoa học giáo dục và Đào tạo giáo viên","Sư phạm Vật lý","7140211","https://trangedu.com/nganh/su-pham-vat-ly/"
"Khoa học giáo dục và Đào tạo giáo viên","Sư phạm Hóa học","7140212","https://trangedu.com/nganh/su-pham-hoa-hoc/"
"Khoa học giáo dục và Đào tạo giáo viên","Sư phạm Sinh học","7140213","https://trangedu.com/nganh/su-pham-sinh-hoc/"
"Khoa học giáo dục và Đào tạo giáo viên","Sư phạm Kỹ thuật công nghiệp","7140214",""
"Khoa học giáo dục và Đào tạo giáo viên","Sư phạm Kỹ thuật nông nghiệp","7140215",""
"Khoa học giáo dục và Đào tạo giáo viên","Sư phạm Ngữ văn","7140217","https://trangedu.com/nganh/su-pham-ngu-van/"
"Khoa học giáo dục và Đào tạo giáo viên","Sư phạm Lịch sử","7140218","https://trangedu.com/nganh/su-pham-lich-su/"
"Khoa học giáo dục và Đào tạo giáo viên","Sư phạm Địa lý","7140219","https://trangedu.com/nganh/su-pham-dia-ly/"
"Khoa học giáo dục và Đào tạo giáo viên","Sư phạm Âm nhạc","7140221","https://trangedu.com/nganh/su-pham-am-nhac/"
