school_name,school_code,area,school_url
"Đại học - Học viện","","Hà Nội","https://trangedu.com/dai-hoc-hoc-vien/"
"Đại học Bách khoa Hà Nội","","Hà Nội","https://trangedu.com/truong/dai-hoc-bach-khoa-ha-noi/"
"Đại học Chính trị","","Hà Nội","https://trangedu.com/truong/dai-hoc-chinh-tri/"
"Đại học CMC","CMC","Hà Nội","https://trangedu.com/truong/dai-hoc-cmc/"
"Đại học Công Đoàn","","Hà Nội","https://trangedu.com/truong/dai-hoc-cong-doan/"
"Đại học Công nghiệp và Thương mại Hà Nội","","Hà Nội","https://trangedu.com/truong/dai-hoc-cong-nghiep-det-may-ha-noi/"
"Đại học Công nghiệp Hà Nội","","Hà Nội","https://trangedu.com/truong/dai-hoc-cong-nghiep-ha-noi/"
"Đại học Công nghiệp Việt – Hung","","Hà Nội","https://trangedu.com/truong/dai-hoc-cong-nghiep-viet-hung/"
"Đại học Công nghệ Đông Á","","Hà Nội","https://trangedu.com/truong/dai-hoc-cong-nghe-dong-a/"
"Đại học Công nghệ Giao thông Vận tải","","Hà Nội","https://trangedu.com/truong/dai-hoc-cong-nghe-giao-thong-van-tai/"
"Đại học Công nghệ – Đại học Quốc gia Hà Nội","","Hà Nội","https://trangedu.com/truong/dai-hoc-cong-nghe-dhqg-hn/"
"Đại học Công nghệ và Quản lý hữu nghị","","Hà Nội","https://trangedu.com/truong/dai-hoc-cong-nghe-va-quan-ly-huu-nghi/"
"Đại học Dược Hà Nội","","Hà Nội","https://trangedu.com/truong/dai-hoc-duoc-ha-noi/"
"Đại học Đại Nam","","Hà Nội","https://trangedu.com/truong/dai-hoc-dai-nam/"
"Đại học Điện Lực","","Hà Nội","https://trangedu.com/truong/dai-hoc-dien-luc/"
"Đại học Đông Đô","","Hà Nội","https://trangedu.com/truong/dai-hoc-dong-do/"
"Đại học FPT Hà Nội","FPT","Hà Nội","https://trangedu.com/truong/dai-hoc-fpt-ha-noi/"
"Đại học Giáo dục – Đại học Quốc gia Hà Nội","","Hà Nội","https://trangedu.com/truong/dai-hoc-giao-duc-dhqg-hn/"
"Đại học Giao thông Vận tải","","Hà Nội","https://trangedu.com/truong/dai-hoc-giao-thong-van-tai/"
"Đại học Hà Nội","","Hà Nội","https://trangedu.com/truong/dai-hoc-ha-noi/"
"Đại học Hòa Bình","","Hà Nội","https://trangedu.com/truong/dai-hoc-hoa-binh/"
"Đại học Khoa học tự nhiên – Đại học Quốc gia Hà Nội","","Hà Nội","https://trangedu.com/truong/dai-hoc-khoa-hoc-tu-nhien-dhqg-hn/"
"Đại học Khoa học và Công nghệ Hà Nội","","Hà Nội","https://trangedu.com/truong/dai-hoc-khoa-hoc-va-cong-nghe-ha-noi/"
