university_code,university_name
YHB,Trường Đại học Y Hà Nội
YTB,Trường Đại học Y Dược Thái Bình
YHP,Trường Đại học Y Dược Hải Phòng
YCT,Trường Đại học Y Dược Cần Thơ
DYV,Trường Đại học Y khoa Phạm Ngọc Thạch
YDN,Trường Đại học Kỹ thuật Y Dược Đà Nẵng
DGH,Trường Đại học Sư phạm Hà Nội
NSP,Trường Đại học Sư phạm Nghệ thuật Trung ương
TLA,Trường Đại học Thủy lợi
MTA,Học viện Kỹ thuật Quân sự
XDA,Trường Đại học Xây dựng Hà Nội
MDA,Trường Đại học Mỏ - Địa chất
GTA,Trường Đại học Giao thông Vận tải
HCV,Học viện Hành chính Quốc gia
BCH,Học viện Báo chí và Tuyên truyền
AOF,Học viện Tài chính
BAA,Học viện Ngân hàng
QHE,Trường Đại học Kinh tế - Đại học Quốc gia Hà Nội
QHL,Trường Đại học Luật - Đại học Quốc gia Hà Nội
QHF,Trường Đại học Ngoại ngữ - Đại học Quốc gia Hà Nội
NLS,Trường Đại học Nông Lâm Thành phố Hồ Chí Minh
TMA,Trường Đại học Thương mại
VHS,Trường Đại học Văn hóa Thành phố Hồ Chí Minh
DLU,Trường Đại học Đà Lạt
NTT,Trường Đại học Nguyễn Tất Thành
DCG,Trường Đại học Công nghệ Đồng Nai
DLH,Trường Đại học Lạc Hồng
DTC,Trường Đại học Tây Đô
TDM,Trường Đại học Thủ Dầu Một
BPU,Trường Đại học Dầu khí Việt Nam
MHT,Trường Đại học Mỹ thuật Việt Nam
VGU,Trường Đại học Việt Đức
TTU,Trường Đại học Tân Tạo
THU,Trường Đại học Thành Đô
DTB,Trường Đại học Thái Bình
DHD,Trường Đại học Hải Dương
HLU,Trường Đại học Hạ Long
DHV,Trường Đại học Hùng Vương
DHT,Trường Đại học Hà Tĩnh
DTE,Trường Đại học Sư phạm Kỹ thuật - Đại học Đà Nẵng
HUTECH,Trường Đại học Công nghệ Thành phố Hồ Chí Minh
DNT,Trường Đại học Ngoại ngữ - Tin học Thành phố Hồ Chí Minh
DDK,Trường Đại học Bách khoa - Đại học Đà Nẵng
BVU,Trường Đại học Bà Rịa - Vũng Tàu
VUP,Trường Đại học Sư phạm Kỹ thuật Vĩnh Long
VCO,Trường Đại học Công nghệ và Quản lý Hữu Nghị
BVS,Học viện Công nghệ Bưu chính Viễn thông (Cơ sở phía Nam)
