university_code,university_name
NHS,Trường Đại học Ngân hàng Thành phố Hồ Chí Minh
DMS,Trường Đại học Tài chính - Marketing
HSU,Trường Đại học Hoa Sen
GTS,Trường Đại học Giao thông Vận tải Thành phố Hồ Chí Minh
HHK,Học viện Hàng không Việt Nam
DTM,Trường Đại học Tài nguyên và Môi trường Thành phố Hồ Chí Minh
DVH,Trường Đại học Văn Hiến
GDU,Trường Đại học Gia Định
TSN,Trường Đại học Nha Trang
HVN,Học viện Nông nghiệp Việt Nam
DMT,Trường Đại học Tài nguyên và Môi trường Hà Nội
FBU,Trường Đại học Tài chính - Ngân hàng Hà Nội
SDU,Trường Đại học Sao Đỏ
VHD,Trường Đại học Công nghiệp Việt - Hung
DVP,Trường Đại học Trưng Vương
NTU,Trường Đại học Nguyễn Trãi
DNU,Trường Đại học Đồng Nai
BMU,Trường Đại học Y Dược Buôn Ma Thuột
YKV,Trường Đại học Y khoa Vinh
TTQ,Trường Đại học Quốc tế Sài Gòn
VBU,Trường Đại học Quốc tế Bắc Hà
DBB,Trường Đại học Công nghệ Đông Á
DLD,Trường Đại học Đại Nam
DKB,Trường Đại học Kinh tế - Kỹ thuật Bình Dương
DQU,Trường Đại học Quảng Nam
DTT,Trường Đại học Tiền Giang
DTV,Trường Đại học Trà Vinh
DTG,Trường Đại học Trường Vinh
KTD,Trường Đại học Kiến trúc Đà Nẵng
HVC,Học viện Cán bộ Thành phố Hồ Chí Minh
HCS,Học viện Hành chính Quốc gia (Cơ sở phía Nam)
NTS,Trường Đại học Ngoại thương (Cơ sở phía Nam)
QSY,Học viện Khoa học Sức khỏe - Đại học Quốc gia Thành phố Hồ Chí Minh
QSQ,Trường Đại học Quốc tế - Đại học Quốc gia Thành phố Hồ Chí Minh
DTQ,Phân hiệu Đại học Thái Nguyên tại Lào Cai
DTF,Trường Ngoại ngữ - Đại học Thái Nguyên
DTY,Trường Đại học Y Dược - Đại học Thái Nguyên
DTS,Trường Đại học Sư phạm - Đại học Thái Nguyên
DTN,Trường Đại học Nông Lâm - Đại học Thái Nguyên
