university_code,university_name
AEP,Học viện Chính sách và Phát triển
ANH,Học viện An ninh Nhân dân
BTU,Trường Đại học Bình Dương
BVH,Học viện Công nghệ Bưu chính Viễn thông
CSH,Học viện Cảnh sát Nhân dân
DCT,Trường Đại học Công nghiệp Thực phẩm Thành phố Hồ Chí Minh
DDL,Trường Đại học Điện lực
DDT,Trường Đại học Duy Tân
DHA,Trường Đại học Luật - Đại học Huế
DHF,Trường Đại học Ngoại ngữ - Đại học Huế
DHS,Trường Đại học Sư phạm - Đại học Huế
DKH,Trường Đại học Dược Hà Nội
DLA,Trường Đại học Kinh tế Công nghiệp Long An
DPH,Trường Đại học Phạm Văn Đồng
DTH,Trường Đại học Thăng Long
DUE,Trường Đại học Kinh tế - Đại học Đà Nẵng
EDU,Trường Đại học Giáo dục - Đại học Quốc gia Hà Nội
HAU,Trường Đại học Kiến trúc Hà Nội
HBT,Trường Đại học Công nghệ Sài Gòn
HMT,Trường Đại học Y tế Công cộng
KCN,Trường Đại học Khoa học và Công nghệ Hà Nội
KMA,Học viện Kỹ thuật Mật mã
KTC,Trường Đại học Kinh tế - Tài chính Thành phố Hồ Chí Minh
KTH,Trường Đại học Kinh tế - Đại học Huế
LHN,Trường Đại học Luật Hà Nội
MHN,Trường Đại học Mở Hà Nội
MSH,Trường Đại học Mỹ thuật Thành phố Hồ Chí Minh
OU,Trường Đại học Mở Thành phố Hồ Chí Minh
QHQ,Trường Quốc tế - Đại học Quốc gia Hà Nội
QSC,Trường Đại học Công nghệ Thông tin - Đại học Quốc gia Thành phố Hồ Chí Minh
QSK,Trường Đại học Kinh tế - Luật - Đại học Quốc gia Thành phố Hồ Chí Minh
RMIT,Trường Đại học RMIT Việt Nam
SGD,Trường Đại học Sài Gòn
TBD,Trường Đại học Thái Bình Dương
TBU,Trường Đại học Tây Bắc
TDTU,Trường Đại học Tôn Đức Thắng
TDU,Trường Đại học Tây Nguyên
UAH,Trường Đại học Kiến trúc Thành phố Hồ Chí Minh
UMT,Trường Đại học Quản lý và Công nghệ Thành phố Hồ Chí Minh
UNETI,Trường Đại học Kinh tế - Kỹ thuật Công nghiệp
VJD,Trường Đại học Việt Nhật - Đại học Quốc gia Hà Nội
VLU,Trường Đại học Văn Lang
VNC,Nhạc viện Thành phố Hồ Chí Minh
VUT,Trường Đại học Công nghệ Vạn Xuân
XSH,Trường Đại học Khoa học Xã hội và Nhân văn - Đại học Quốc gia Thành phố Hồ Chí Minh
YDH,Trường Đại học Y Dược - Đại học Huế
YQD,Học viện Quân y
