university_code,university_name
DAG,Trường Đại học An Giang - Đại học Quốc gia Thành phố Hồ Chí Minh
DHK,Trường Đại học Khoa học Tự nhiên - Đại học Quốc gia Thành phố Hồ Chí Minh
DHP,Trường Đại học Hải Phòng
HUST,Đại học Bách khoa Hà Nội
TKG,Trường Đại học Kiên Giang
DFL,Trường Đại học Ngoại ngữ - Đại học Đà Nẵng
DNV,Trường Đại học Nội vụ Hà Nội
DGD,Trường Đại học Công nghiệp Thành phố Hồ Chí Minh
DBS,Trường Đại học Kinh tế Thành phố Hồ Chí Minh
QHI,Trường Đại học Công nghệ - Đại học Quốc gia Hà Nội
TQU,Trường Đại học Tân Trào
YDS,Trường Đại học Y Dược Thành phố Hồ Chí Minh
DQC,Trường Đại học Quảng Bình
DPT,Trường Đại học Phan Thiết
LDA,Trường Đại học Lao động - Xã hội
VHH,Trường Đại học Văn hóa Hà Nội
HIU,Trường Đại học Quốc tế Hồng Bàng
SKD,Trường Đại học Sân khấu - Điện ảnh Hà Nội
VKA,Học viện Ngoại giao
DQL,Trường Đại học Luật Thành phố Hồ Chí Minh
HHA,Trường Đại học Hàng hải Việt Nam
NHA,Học viện Âm nhạc Quốc gia Việt Nam
MSH,Trường Đại học Mỹ thuật Thành phố Hồ Chí Minh
DQN,Trường Đại học Quy Nhơn
DCN,Trường Đại học Công nghiệp Hà Nội
CTS,Trường Đại học Cần Thơ
BVH,Học viện Công nghệ Bưu chính Viễn thông
