university_code,university_name
ANH,Học viện An ninh Nhân dân
BTU,Trường Đại học Bình Dương
CSH,Học viện Cảnh sát Nhân dân
CTS,Trường Đại học Cần Thơ
DAG,Trường Đại học An Giang - Đại học Quốc gia Thành phố Hồ Chí Minh
DDL,Trường Đại học Điện lực
DDT,Trường Đại học Duy Tân
DED,Trường Đại học Sư phạm - Đại học Đà Nẵng
DGD,Trường Đại học Công nghiệp Thành phố Hồ Chí Minh
DHA,Trường Đại học Luật - Đại học Huế
DHF,Trường Đại học Ngoại ngữ - Đại học Huế
DHP,Trường Đại học Hải Phòng
DHS,Trường Đại học Sư phạm - Đại học Huế
DKH,Trường Đại học Dược Hà Nội
DLA,Trường Đại học Kinh tế Công nghiệp Long An
DNV,Trường Đại học Nội vụ Hà Nội
DPH,Trường Đại học Phạm Văn Đồng
DPX,Trường Đại học Sư phạm Thành phố Hồ Chí Minh
DQC,Trường Đại học Quảng Bình
DQL,Trường Đại học Luật Thành phố Hồ Chí Minh
DUE,Trường Đại học Kinh tế - Đại học Đà Nẵng
EDU,Trường Đại học Giáo dục - Đại học Quốc gia Hà Nội
HAU,Trường Đại học Kiến trúc Hà Nội
HHA,Trường Đại học Hàng hải Việt Nam
HIU,Trường Đại học Quốc tế Hồng Bàng
KCN,Trường Đại học Khoa học và Công nghệ Hà Nội
KMA,Học viện Kỹ thuật Mật mã
KTC,Trường Đại học Kinh tế - Tài chính Thành phố Hồ Chí Minh
KTH,Trường Đại học Kinh tế - Đại học Huế
LDA,Trường Đại học Lao động - Xã hội
LHN,Trường Đại học Luật Hà Nội
MHN,Trường Đại học Mở Hà Nội
MSH,Trường Đại học Mỹ thuật Thành phố Hồ Chí Minh
OU,Trường Đại học Mở Thành phố Hồ Chí Minh
QHQ,Trường Quốc tế - Đại học Quốc gia Hà Nội
QHT,Trường Đại học Khoa học Tự nhiên - Đại học Quốc gia Hà Nội
QSK,Trường Đại học Kinh tế - Luật - Đại học Quốc gia Thành phố Hồ Chí Minh
SGD,Trường Đại học Sài Gòn
SKD,Trường Đại học Sân khấu - Điện ảnh Hà Nội
TBU,Trường Đại học Tây Bắc
TDTU,Trường Đại học Tôn Đức Thắng
TDU,Trường Đại học Tây Nguyên
TKG,Trường Đại học Kiên Giang
TQU,Trường Đại học Tân Trào
UAH,Trường Đại học Kiến trúc Thành phố Hồ Chí Minh
UMT,Trường Đại học Quản lý và Công nghệ Thành phố Hồ Chí Minh
UNETI,Trường Đại học Kinh tế - Kỹ thuật Công nghiệp
VJD,Trường Đại học Việt Nhật - Đại học Quốc gia Hà Nội
VLU,Trường Đại học Văn Lang
VNC,Nhạc viện Thành phố Hồ Chí Minh
XSH,Trường Đại học Khoa học Xã hội và Nhân văn - Đại học Quốc gia Thành phố Hồ Chí Minh
YDH,Trường Đại học Y Dược - Đại học Huế
YQD,Học viện Quân y
