university_code,university_name
DDL,Trường Đại học Điện lực
TKG,Trường Đại học Kiên Giang
MHN,Trường Đại học Mở Hà Nội
HIU,Trường Đại học Quốc tế Hồng Bàng
DCN,Trường Đại học Công nghiệp Hà Nội
DQN,Trường Đại học Quy Nhơn
KCN,Trường Đại học Khoa học và Công nghệ Hà Nội
HBT,Trường Đại học Công nghệ Sài Gòn
DBS,Trường Đại học Kinh tế Thành phố Hồ Chí Minh
BVH,Học viện Công nghệ Bưu chính Viễn thông
DHK,Trường Đại học Khoa học Tự nhiên - Đại học Quốc gia Thành phố Hồ Chí Minh
TDU,Trường Đại học Tây Nguyên
VHH,Trường Đại học Văn hóa Hà Nội
VJD,Trường Đại học Việt Nhật - Đại học Quốc gia Hà Nội
DGD,Trường Đại học Công nghiệp Thành phố Hồ Chí Minh
DFL,Trường Đại học Ngoại ngữ - Đại học Đà Nẵng
ANH,Học viện An ninh Nhân dân
CTS,Trường Đại học Cần Thơ
DAG,Trường Đại học An Giang - Đại học Quốc gia Thành phố Hồ Chí Minh
DDT,Trường Đại học Duy Tân
DED,Trường Đại học Sư phạm - Đại học Đà Nẵng
DHP,Trường Đại học Hải Phòng
DHS,Trường Đại học Sư phạm - Đại học Huế
DKH,Trường Đại học Dược Hà Nội
DPH,Trường Đại học Phạm Văn Đồng
DPX,Trường Đại học Sư phạm Thành phố Hồ Chí Minh
DQL,Trường Đại học Luật Thành phố Hồ Chí Minh
HAU,Trường Đại học Kiến trúc Hà Nội
HHA,Trường Đại học Hàng hải Việt Nam
KMA,Học viện Kỹ thuật Mật mã
KTC,Trường Đại học Kinh tế - Tài chính Thành phố Hồ Chí Minh
KTH,Trường Đại học Kinh tế - Đại học Huế
LDA,Trường Đại học Lao động - Xã hội
MSH,Trường Đại học Mỹ thuật Thành phố Hồ Chí Minh
QHT,Trường Đại học Khoa học Tự nhiên - Đại học Quốc gia Hà Nội
QSK,Trường Đại học Kinh tế - Luật - Đại học Quốc gia Thành phố Hồ Chí Minh
SGD,Trường Đại học Sài Gòn
SKD,Trường Đại học Sân khấu - Điện ảnh Hà Nội
TBU,Trường Đại học Tây Bắc
TDTU,Trường Đại học Tôn Đức Thắng
UNETI,Trường Đại học Kinh tế - Kỹ thuật Công nghiệp
XSH,Trường Đại học Khoa học Xã hội và Nhân văn - Đại học Quốc gia Thành phố Hồ Chí Minh
YDH,Trường Đại học Y Dược - Đại học Huế
