university_code,university_name
BKA,Đại học Bách khoa Hà Nội
KHA,Đại học Kinh tế Quốc dân
QST,Đại học Quốc gia Thành phố Hồ Chí Minh
QGH,Đại học Quốc gia Hà Nội
FTU,Trường Đại học Ngoại thương
DDK,Trường Đại học Bách khoa - Đại học Đà Nẵng
DCD,Trường Đại học Công nghệ Thông tin - Đại học Quốc gia Thành phố Hồ Chí Minh
DQS,Trường Đại học Quốc tế - Đại học Quốc gia Thành phố Hồ Chí Minh
DBS,Trường Đại học Kinh tế Thành phố Hồ Chí Minh
NLS,Trường Đại học Nông Lâm Thành phố Hồ Chí Minh
TMA,Trường Đại học Thương mại
AOF,Học viện Tài chính
BAA,Học viện Ngân hàng
DGH,Trường Đại học Sư phạm Hà Nội
CPS,Trường Đại học Sư phạm Kỹ thuật Thành phố Hồ Chí Minh
DGD,Trường Đại học Công nghiệp Thành phố Hồ Chí Minh
DCN,Trường Đại học Công nghiệp Hà Nội
MTA,Học viện Kỹ thuật Quân sự
BVH,Học viện Công nghệ Bưu chính Viễn thông
TLA,Trường Đại học Thủy lợi
GTA,Trường Đại học Giao thông Vận tải
XDA,Trường Đại học Xây dựng Hà Nội
LDA,Trường Đại học Lao động - Xã hội
DHF,Trường Đại học Hà Nội
DPX,Trường Đại học Sư phạm Thành phố Hồ Chí Minh
YHB,Trường Đại học Y Hà Nội
YDS,Trường Đại học Y Dược Thành phố Hồ Chí Minh
TDB,Trường Đại học Thể dục Thể thao Bắc Ninh
CTS,Trường Đại học Cần Thơ
HHA,Trường Đại học Hàng hải Việt Nam
VHH,Trường Đại học Văn hóa Hà Nội
VHS,Trường Đại học Văn hóa Thành phố Hồ Chí Minh
DLU,Trường Đại học Đà Lạt
DTD,Trường Đại học Tôn Đức Thắng
NTT,Trường Đại học Nguyễn Tất Thành
DVL,Trường Đại học Văn Lang
DTH,Trường Đại học Thăng Long
HBT,Trường Đại học Công nghệ Sài Gòn
DPT,Trường Đại học Phan Thiết
DCG,Trường Đại học Công nghệ Đồng Nai
DNT,Trường Đại học Ngoại ngữ - Tin học Thành phố Hồ Chí Minh
HIU,Trường Đại học Quốc tế Hồng Bàng
HUTECH,Trường Đại học Công nghệ Thành phố Hồ Chí Minh
DUE,Trường Đại học Kinh tế - Đại học Đà Nẵng
DFL,Trường Đại học Ngoại ngữ - Đại học Đà Nẵng
DTE,Trường Đại học Sư phạm Kỹ thuật - Đại học Đà Nẵng
DED,Trường Đại học Sư phạm - Đại học Đà Nẵng
TTU,Trường Đại học Tân Tạo
VGU,Trường Đại học Việt Đức
BUV,Trường Đại học Anh quốc Việt Nam
FPT,Trường Đại học FPT
VUN,Trường Đại học VinUni
DDT,Trường Đại học Duy Tân
THU,Trường Đại học Thành Đô
DLH,Trường Đại học Lạc Hồng
DTC,Trường Đại học Tây Đô
TDM,Trường Đại học Thủ Dầu Một
BPU,Trường Đại học Dầu khí Việt Nam
DBH,Trường Đại học Bách khoa - Đại học Quốc gia Thành phố Hồ Chí Minh
DHK,Trường Đại học Khoa học Tự nhiên - Đại học Quốc gia Thành phố Hồ Chí Minh
XSH,Trường Đại học Khoa học Xã hội và Nhân văn - Đại học Quốc gia Thành phố Hồ Chí Minh
DQL,Trường Đại học Luật Thành phố Hồ Chí Minh
QHL,Trường Đại học Luật - Đại học Quốc gia Hà Nội
QHE,Trường Đại học Kinh tế - Đại học Quốc gia Hà Nội
QHT,Trường Đại học Khoa học Tự nhiên - Đại học Quốc gia Hà Nội
QHX,Trường Đại học Khoa học Xã hội và Nhân văn - Đại học Quốc gia Hà Nội
QHI,Trường Đại học Công nghệ - Đại học Quốc gia Hà Nội
QHF,Trường Đại học Ngoại ngữ - Đại học Quốc gia Hà Nội
YHD,Trường Đại học Y Dược - Đại học Quốc gia Hà Nội
QHD,Trường Đại học Giáo dục - Đại học Quốc gia Hà Nội
DYV,Trường Đại học Y khoa Phạm Ngọc Thạch
YTB,Trường Đại học Y Dược Thái Bình
YHP,Trường Đại học Y Dược Hải Phòng
YCT,Trường Đại học Y Dược Cần Thơ
YDN,Trường Đại học Kỹ thuật Y Dược Đà Nẵng
DHA,Trường Đại học Luật Hà Nội
VKA,Học viện Ngoại giao
HCV,Học viện Hành chính Quốc gia
BCH,Học viện Báo chí và Tuyên truyền
DNV,Trường Đại học Nội vụ Hà Nội
MDA,Trường Đại học Mỏ - Địa chất
MTU,Trường Đại học Kiến trúc Thành phố Hồ Chí Minh
KTA,Trường Đại học Kiến trúc Hà Nội
MHT,Trường Đại học Mỹ thuật Việt Nam
MSH,Trường Đại học Mỹ thuật Thành phố Hồ Chí Minh
NHA,Học viện Âm nhạc Quốc gia Việt Nam
NSP,Trường Đại học Sư phạm Nghệ thuật Trung ương
SKD,Trường Đại học Sân khấu - Điện ảnh Hà Nội
TKG,Trường Đại học Kiên Giang
DTT,Trường Đại học Tiền Giang
DAG,Trường Đại học An Giang - Đại học Quốc gia Thành phố Hồ Chí Minh
DQN,Trường Đại học Quy Nhơn
DHP,Trường Đại học Hải Phòng
DTB,Trường Đại học Thái Bình
DHD,Trường Đại học Hải Dương
HLU,Trường Đại học Hạ Long
DHV,Trường Đại học Hùng Vương
TQU,Trường Đại học Tân Trào
DHT,Trường Đại học Hà Tĩnh
DQC,Trường Đại học Quảng Bình
