university_code,university_name,found_url,url_type,confidence,note,search_timestamp
BKA,Đại học Bách khoa Hà Nội,https://hust.edu.vn/vi/tuyen-sinh/dai-hoc/,html,high,,2026-06-13T19:17:48.117903+00:00
KHA,Đại học Kinh tế Quốc dân,https://daotao.neu.edu.vn/,pdf,high,,2026-06-13T19:17:52.400534+00:00
QST,Đại học Quốc gia Thành phố Hồ Chí Minh,https://vnuhcm.edu.vn/,html,high,manual-fix A1: tuyensinh.vnuhcm.edu.vn chết DNS -> dùng vnuhcm.edu.vn,2026-06-13T19:17:55.282184+00:00
QGH,Đại học Quốc gia Hà Nội,https://tuyensinh.vnu.edu.vn,html,high,,2026-06-13T19:17:59.900744+00:00
FTU,Trường Đại học Ngoại thương,https://ftu.edu.vn/,html,high,manual-fix: tuyensinh.ftu.edu.vn là cổng login JS -> dùng ftu.edu.vn,2026-06-13T19:18:04.109766+00:00
DDK,Trường Đại học Bách khoa - Đại học Đà Nẵng,https://tuyensinh.dut.udn.vn/,html,high,,2026-06-13T19:18:08.622158+00:00
DCD,Trường Đại học Công nghệ Thông tin - Đại học Quốc gia Thành phố Hồ Chí Minh,https://tuyensinh.uit.edu.vn,html,high,,2026-06-13T19:18:13.609297+00:00
DQS,Trường Đại học Quốc tế - Đại học Quốc gia Thành phố Hồ Chí Minh,https://hcmiu.edu.vn/,html,high,,2026-06-13T19:18:17.883492+00:00
DBS,Trường Đại học Kinh tế Thành phố Hồ Chí Minh,https://tuyensinh.ueh.edu.vn/,html,high,,2026-06-13T19:18:22.739435+00:00
NLS,Trường Đại học Nông Lâm Thành phố Hồ Chí Minh,https://ts.hcmuaf.edu.vn,html,high,,2026-06-13T19:18:27.078608+00:00
TMA,Trường Đại học Thương mại,https://tmu.edu.vn,html,high,,2026-06-13T19:37:11.780203+00:00
AOF,Học viện Tài chính,https://hvtc.edu.vn/tuyensinh/thong-tin-tuyen-sinh-dai-hoc-chinh-quy-nam-2026,html,high,,2026-06-13T19:37:17.083172+00:00
BAA,Học viện Ngân hàng,https://hvnh.edu.vn,html,high,,2026-06-13T19:37:21.015489+00:00
DGH,Trường Đại học Sư phạm Hà Nội,https://hnue.edu.vn,html,high,,2026-06-13T19:37:25.322901+00:00
CPS,Trường Đại học Sư phạm Kỹ thuật Thành phố Hồ Chí Minh,https://tuyensinh.hcmute.edu.vn,html,high,,2026-06-13T19:37:30.938081+00:00
DGD,Trường Đại học Công nghiệp Thành phố Hồ Chí Minh,https://tuyensinh.iuh.edu.vn,html,high,,2026-06-13T19:37:35.557306+00:00
DCN,Trường Đại học Công nghiệp Hà Nội,https://tuyensinh.haui.edu.vn/dai-hoc-chinh-quy/thong-tin-tuyen-sinh-trinh-do-dai-hoc-nam-2026/69b4e60495dfe0072a789cf6,html,high,,2026-06-13T19:37:40.548213+00:00
MTA,Học viện Kỹ thuật Quân sự,https://mta.edu.vn,html,high,,2026-06-13T19:37:44.528477+00:00
BVH,Học viện Công nghệ Bưu chính Viễn thông,https://tuyensinh.ptit.edu.vn,html,high,,2026-06-13T19:37:48.868531+00:00
TLA,Trường Đại học Thủy lợi,https://tuyensinh.tlu.edu.vn/,html,high,,2026-06-13T19:37:53.617438+00:00
GTA,Trường Đại học Giao thông Vận tải,https://tuyensinh.utc.edu.vn,html,high,,2026-06-13T19:37:58.198106+00:00
XDA,Trường Đại học Xây dựng Hà Nội,https://tuyensinh.huce.edu.vn/,html,high,,2026-06-13T19:38:02.353807+00:00
LDA,Trường Đại học Lao động - Xã hội,https://tuyensinh.ldxh.edu.vn/,html,high,,2026-06-13T19:38:06.780468+00:00
DHF,Trường Đại học Hà Nội,https://tuyensinh.hanu.edu.vn,html,high,,2026-06-13T19:38:10.695636+00:00
DPX,Trường Đại học Sư phạm Thành phố Hồ Chí Minh,http://tuyensinh.hcmue.edu.vn,html,high,,2026-06-13T19:38:15.595579+00:00
YHB,Trường Đại học Y Hà Nội,https://hmu.edu.vn/tin-tuc/thong-tin-tuyen-sinh-trinh-do-dai-hoc-cua-truong-dai-hoc-y-ha-noi-nam-2026-1036.html,html,high,,2026-06-13T19:38:20.156599+00:00
YDS,Trường Đại học Y Dược Thành phố Hồ Chí Minh,https://ump.edu.vn/tuyen-sinh-dao-tao/dai-hoc/thong-bao,html,high,,2026-06-13T19:38:25.815574+00:00
TDB,Trường Đại học Thể dục Thể thao Bắc Ninh,https://upes1.edu.vn/,html,high,,2026-06-13T19:38:30.157575+00:00
CTS,Trường Đại học Cần Thơ,https://tuyensinh.ctu.edu.vn,html,high,,2026-06-13T19:38:34.953421+00:00
HHA,Trường Đại học Hàng hải Việt Nam,https://tuyensinh.vimaru.edu.vn/,html,high,,2026-06-13T19:38:39.510396+00:00
VHH,Trường Đại học Văn hóa Hà Nội,https://huc.edu.vn/thong-tin-tuyen-sinh-dai-hoc-chinh-quy-nam-2026-14022026,html,high,,2026-06-13T19:38:44.616740+00:00
VHS,Trường Đại học Văn hóa Thành phố Hồ Chí Minh,https://hcmuc.edu.vn/tuyen-sinh/thong-tin-tuyen-sinh-trinh-do-dai-hoc-chinh-quy-nam-2026.html,html,high,,2026-06-13T19:38:49.751764+00:00
DLU,Trường Đại học Đà Lạt,https://tuyensinh.dlu.edu.vn,html,high,,2026-06-13T19:38:53.571447+00:00
DTD,Trường Đại học Tôn Đức Thắng,https://admission.tdtu.edu.vn,html,high,,2026-06-13T19:39:23.022538+00:00
NTT,Trường Đại học Nguyễn Tất Thành,https://tuyensinh.ntt.edu.vn,html,high,,2026-06-13T19:39:27.168778+00:00
