code,name,prog,prog_url,dc,dc_url,tui_ngành,tui_SW(tr/năm),tui_url
UET,Công nghệ ĐHQGHN,20,diemthi.tuyensinh247.com/thong-tin-dai-hoc-cong-…,0,,0,,
VINUNI,VinUni,0,vinuni.edu.vn/,0,,0,,
YHB,Trường Đại học Y Hà Nội,19,hmu.edu.vn/tin-tuc/6cc77ebb-5fdb-4c94-b338-a5956…,22,diemthi.tuyensinh247.com/diem-chuan/dai-hoc-y-ha…,6,19.1-80.0,www.vietnamplus.vn/tuyen-sinh-dai-hoc-nam-2026-h…
YTB,Trường Đại học Y Dược Thái Bình,0,tbump.edu.vn/,6,diemthi.tuyensinh247.com/diem-chuan/dai-hoc-y-du…,6,46-65,diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-ho…
YHP,Trường Đại học Y Dược Hải Phòng,7,huongnghiep.hocmai.vn/tuyen-sinh-2025-dai-hoc-y-…,14,diemthi.tuyensinh247.com/diem-chuan/dai-hoc-y-du…,2,45-58,tuoitre.vn/14-truong-dao-tao-y-duoc-phia-bac-du-…
YCT,Trường Đại học Y Dược Cần Thơ,15,diemthi.tuyensinh247.com/thong-tin-dai-hoc-y-duo…,5,muctim.tuoitre.vn/diem-chuan-truong-dai-hoc-y-du…,2,50.1-85.26,thanhnien.vn/truong-dai-hoc-y-duoc-can-tho-phuon…
DYV,Trường Đại học Y khoa Phạm Ngọc Thạch,13,diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-ho…,12,diemthi.tuyensinh247.com/diem-chuan/dai-hoc-y-kh…,5,47-81,diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-ho…
YDN,Trường Đại học Kỹ thuật Y Dược Đà Nẵng,7,thi.tuyensinh247.com/thong-tin-tuyen-sinh-dai-ho…,25,diemthi.tuyensinh247.com/diem-chuan/dai-hoc-ky-t…,2,30-40,laodong.vn/tuyen-sinh/hoc-phi-du-kien-truong-dai…
DGH,Trường Đại học Sư phạm Hà Nội,20,tuyensinh.hnue.edu.vn/,10,diemthi.tuyensinh247.com/diem-chuan/dai-hoc-su-p…,2,10-15,www.vietnam.vn/hoc-phi-dai-hoc-su-pham-ha-noi-na…
NSP,Trường Đại học Sư phạm Nghệ thuật Trung ương,14,qltuyensinh.spnttw.edu.vn/,27,diemthi.tuyensinh247.com/diem-chuan/dai-hoc-su-p…,0,,khoahoc.vietjack.com/tuyen-sinh/1103/du-kien-hoc…
TLA,Trường Đại học Thủy lợi,46,thi.tuyensinh247.com/thong-tin-tuyen-sinh-truong…,43,diemthi.tuyensinh247.com/diem-chuan/dai-hoc-thuy…,11,,khoahoc.vietjack.com/tuyen-sinh/1209/hoc-phi-tru…
MTA,Học viện Kỹ thuật Quân sự,0,mta.edu.vn/,2,laodong.vn/giao-duc/diem-chuan-hoc-vien-ky-thuat…,1,20.9,giaoducthudo.giaoducthoidai.vn/hoc-vien-ky-thuat…
XDA,Trường Đại học Xây dựng Hà Nội,43,diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-ho…,43,tuyensinh.huce.edu.vn/diem-trung-tuyen-dai-hoc-c…,1,16.4,tuyensinh.huce.edu.vn/hoc-phi
MDA,Trường Đại học Mỏ - Địa chất,47,diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-ho…,16,diemthi.tuyensinh247.com/diem-chuan/dai-hoc-mo-d…,0,18.5-24.7,khoahoc.vietjack.com/tuyen-sinh/1258/hoc-phi-dai…
GTA,Trường Đại học Giao thông Vận tải,33,diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-ho…,48,diemthi.tuyensinh247.com/diem-chuan/dai-hoc-giao…,3,20.6-60.0,tuoitre.vn/truong-dh-giao-thong-van-tai-tp-hcm-x…
HCV,Học viện Hành chính Quốc gia,41,diemthi.tuyensinh247.com/de-an-tuyen-sinh/hoc-vi…,3,dantri.com.vn/giao-duc/diem-chuan-hoc-vien-hanh-…,3,17-20,baodanang.vn/hoc-phi-hoc-vien-hanh-chinh-quoc-gi…
BCH,Học viện Báo chí và Tuyên truyền,32,diemthi.tuyensinh247.com/de-an-tuyen-sinh/hoc-vi…,8,diemthi.tuyensinh247.com/diem-chuan/hoc-vien-bao…,3,0-16.81,dienthoaivui.com.vn/back-to-school-hoc-phi-hoc-v…
AOF,Học viện Tài chính,50,diemthi.tuyensinh247.com/thong-tin-hoc-vien-tai-…,68,diemthi.tuyensinh247.com/diem-chuan/hoc-vien-tai…,4,25-80,vietnamnet.vn/hoc-vien-tai-chinh-cong-bo-3-phuon…
BAA,Học viện Ngân hàng,45,diemthi.tuyensinh247.com/de-an-tuyen-sinh/hoc-vi…,1,phongvu.vn/cong-nghe/diem-chuan-hoc-vien-ngan-ha…,5,27.8-50.0,diemthi.tuyensinh247.com/de-an-tuyen-sinh/hoc-vi…
QHE,Trường Đại học Kinh tế - Đại học Quốc gia Hà Nội,8,diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-ho…,2,daibieunhandan.vn/diem-chuan-cua-truong-dai-hoc-…,4,48,unizone.edu.vn/hoc-phi-dai-hoc-kinh-te-dhqghn/
QHL,Trường Đại học Luật - Đại học Quốc gia Hà Nội,4,law.vnu.edu.vn/,4,www.thongtintuyensinh.vn/Diem-chuan-trung-tuyen-…,4,30.43-35.8,law.vnu.edu.vn/thong-tin-tuyen-sinh-dai-hoc-chin…
QHF,Trường Đại học Ngoại ngữ - Đại học Quốc gia Hà Nội,16,diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-ho…,3,vietnamnet.vn/diem-chuan-truong-dai-hoc-ngoai-ng…,10,31-42,thi.tuyensinh247.com/dai-hoc-ngoai-ngu-dhqghn-co…
NLS,Trường Đại học Nông Lâm Thành phố Hồ Chí Minh,1,thi.tuyensinh247.com/thong-tin-tuyen-sinh-dai-ho…,9,diemthi.tuyensinh247.com/diem-chuan/dai-hoc-nong…,2,,thanhnien.vn/hoc-phi-truong-dh-nong-lam-tphcm-co…
TMA,Trường Đại học Thương mại,51,thi.tuyensinh247.com/thong-tin-tuyen-sinh-dai-ho…,9,diemthi.tuyensinh247.com/diem-chuan/dai-hoc-thuo…,4,25.75-260,dienthoaivui.com.vn/back-to-school-hoc-phi-dai-h…
VHS,Trường Đại học Văn hóa Thành phố Hồ Chí Minh,14,diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-ho…,28,diemthi.tuyensinh247.com/diem-chuan/dai-hoc-van-…,0,19.91,diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-ho…
DLU,Trường Đại học Đà Lạt,41,diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-ho…,4,thanhnien.vn/diem-chuan-trung-tuyen-truong-dh-da…,2,15-24,xemthoitiet.com.vn/tin-tuc/hoc-phi-dai-hoc-da-la…
NTT,Trường Đại học Nguyễn Tất Thành,88,tuyensinh.ntt.edu.vn/,6,giaoducthoidai.vn/diem-chuan-truong-dai-hoc-nguy…,0,,ntt.edu.vn/
DCG,Trường Đại học Công nghệ Đồng Nai,22,diemthi.tuyensinh247.com/thong-tin-dai-hoc-cong-…,10,xaydungchinhsach.chinhphu.vn/diem-chuan-truong-d…,25,17.91-20.5,dntu.edu.vn/hoc-phi-hoc-bong
DLH,Trường Đại học Lạc Hồng,29,diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-ho…,29,diemthi.tuyensinh247.com/diem-chuan/dai-hoc-lac-…,29,37-51,diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-ho…
DTC,Trường Đại học Tây Đô,30,tdu.edu.vn/,5,tuyensinhhuongnghiep.vn/truong-dh-tay-do-diem-ch…,6,,khoahoc.vietjack.com/school/290/dai-hoc-tay-do-d…
TDM,Trường Đại học Thủ Dầu Một,50,diemthi.tuyensinh247.com/thong-tin-dai-hoc-thu-d…,8,tdmu.edu.vn/tin-tuc/tin-dao-tao/truong-dai-hoc-t…,0,,tuyensinh.tdmu.edu.vn/
BPU,Trường Đại học Dầu khí Việt Nam,3,www.pvu.edu.vn/tuyen-sinh/tuyen-sinh-2026/thong-…,15,diemthi.tuyensinh247.com/diem-chuan/dai-hoc-dau-…,3,,trangedu.com/truong/dai-hoc-dau-khi-viet-nam/
MHT,Trường Đại học Mỹ thuật Việt Nam,6,diemthi.tuyensinh247.com/thong-tin-dai-hoc-my-th…,7,khoahoc.vietjack.com/tuyen-sinh/3822/diem-chuan-…,0,13.5,www.hcmufa.edu.vn/news_detail/id/478
VGU,Trường Đại học Việt Đức,13,diemthi.tuyensinh247.com/de-an-tuyen-sinh/dai-ho…,22,xaydungchinhsach.chinhphu.vn/diem-chuan-truong-d…,0,,vgu.edu.vn/study-programs/bachelor/cs/tuition-an…
TTU,Trường Đại học Tân Tạo,21,tuyensinh.ttu.edu.vn/,13,ttu.edu.vn/truong-dai-hoc-tan-tao-cong-bo-diem-c…,16,25-150,thongtintuyensinh247.com/hoc-phi-dai-hoc-tan-tao…
THU,Trường Đại học Thành Đô,14,thanhdo.edu.vn/,28,diemthi.tuyensinh247.com/diem-chuan/dai-hoc-than…,0,24-28,thanhdo.edu.vn/hoc-phi-truong-dai-hoc-thanh-do
