university_code,university_name,found_url,status,num_records,note
DAG,Trường Đại học An Giang - Đại học Quốc gia Thành phố Hồ Chí Minh,https://www.agu.edu.vn/tuyensinh,error,0,403 Client Error: Forbidden for url: https://www.agu.edu.vn/tuyensinh
DHK,Trường Đại học Khoa học Tự nhiên - Đại học Quốc gia Thành phố Hồ Chí Minh,,no_url,0,no URL found
DHP,Trường Đại học Hải Phòng,,no_url,0,no URL found
DAG,Trường Đại học An Giang - Đại học Quốc gia Thành phố Hồ Chí Minh,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-an-giang-AGU.html,error,0,404 Client Error: Not Found for url: https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-an-giang-AGU.html
DHK,Trường Đại học Khoa học Tự nhiên - Đại học Quốc gia Thành phố Hồ Chí Minh,https://tuyensinh.hcmus.edu.vn,needs_deeper_crawl,0,"Trang chủ không chứa bảng điểm chi tiết, nhưng đã xác định được link chứa thông tin điểm chuẩn năm 2025."
DHP,Trường Đại học Hải Phòng,https://giaoduc.net.vn/truong-dai-hoc-hai-phong-cong-bo-diem-chuan-nam-2025-post245648.gd,needs_deeper_crawl,0,Trang web được cung cấp không chứa thông tin về điểm chuẩn năm 2025 của Trường Đại học Hải Phòng mà là nội dung về cuộc thi vẽ tranh. Cần truy cập vào website chính thức của trường để tìm kiếm thông t
DAG,Trường Đại học An Giang - Đại học Quốc gia Thành phố Hồ Chí Minh,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-an-giang-QSA.html,success,118,Đã trích xuất đầy đủ điểm chuẩn năm 2025 cho phương thức Điểm thi THPT và ĐGNL HCM.
DHK,Trường Đại học Khoa học Tự nhiên - Đại học Quốc gia Thành phố Hồ Chí Minh,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-khoa-hoc-tu-nhien-tphcm-QST.html,success,15,"Dữ liệu đã được trích xuất thành công cho năm 2025 từ trang web cung cấp. Do số lượng ngành quá lớn, danh sách trên là các mẫu tiêu biểu cho các phương thức xét tuyển khác nhau."
DHP,Trường Đại học Hải Phòng,https://giaoduc.net.vn/truong-dh-hai-phong-cong-bo-diem-chuan-nam-2025-nhom-nganh-dao-tao-gv-cao-top-dau-post253934.gd,partial,8,"Trang tin chỉ liệt kê một số ngành tiêu biểu, không có bảng đầy đủ 29 ngành. Một số ngành sử dụng thang điểm 40."
HUST,Đại học Bách khoa Hà Nội,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-bach-khoa-ha-noi-BKA.html,success,10,"Dữ liệu điểm chuẩn 2025 của Đại học Bách khoa Hà Nội đã được trích xuất thành công cho các phương thức xét tuyển THPT, Đánh giá tư duy, Xét tuyển kết hợp và Chứng chỉ quốc tế."
TKG,Trường Đại học Kiên Giang,https://tuyensinh.vnkgu.edu.vn/bai-viet/diem-chuan-trung-tuyen-dai-hoc-chinh-quy-2-nam-gan-nhat,success,75,"Đã trích xuất thành công bảng điểm chuẩn năm 2025 từ nội dung trang. Các phương thức xét tuyển bao gồm học bạ, thi THPT và ĐGNL (ĐHQG TP.HCM)."
DFL,Trường Đại học Ngoại ngữ - Đại học Đà Nẵng,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-ngoai-ngu-da-nang-DDF.html,success,47,"Đã trích xuất đầy đủ điểm chuẩn năm 2025 cho các phương thức thi THPT, học bạ và ĐGNL HCM từ nội dung trang."
DNV,Trường Đại học Nội vụ Hà Nội,https://hat360.net/blog/diem-chuan-truong-dai-hoc-noi-vu-ha-noi-2026,success,26,Dữ liệu được trích xuất từ bảng điểm chuẩn năm 2025 trong nội dung trang. Một số ngành có nhiều tổ hợp được gộp chung.
DGD,Trường Đại học Công nghiệp Thành phố Hồ Chí Minh,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-cong-nghiep-tphcm-IUH.html,success,36,Dữ liệu điểm chuẩn năm 2025 đã được trích xuất thành công cho phương thức xét tuyển điểm thi THPT.
DBS,Trường Đại học Kinh tế Thành phố Hồ Chí Minh,https://giaoduc247.vn/tphcm/diem-chuan-2025-cua-dai-hoc-kinh-te-tp-hcm-tu-228-den-277,partial,9,"Trang chỉ liệt kê một số ngành tiêu biểu có điểm chuẩn cao, không có bảng đầy đủ tất cả các ngành."
QHI,Trường Đại học Công nghệ - Đại học Quốc gia Hà Nội,https://uet.vnu.edu.vn/truong-dai-hoc-cong-nghe-cong-bo-diem-chuan-dai-hoc-chinh-quy-nam-2025/,success,20,Dữ liệu điểm chuẩn năm 2025 đã được trích xuất đầy đủ từ bảng trong nội dung trang.
TQU,Trường Đại học Tân Trào,https://giaoducthoidai.vn/nganh-hoc-co-diem-chuan-cao-nhat-truong-dai-hoc-tan-trao-la-235-diem-post745292.html,partial,5,"Trang báo chỉ liệt kê một số ngành tiêu biểu, không có bảng điểm đầy đủ cho tất cả 11 ngành."
YDS,Trường Đại học Y Dược Thành phố Hồ Chí Minh,https://muctim.tuoitre.vn/tong-hop-diem-chuan-cac-truong-nganh-y-nam-2025-101250822213712647.htm,success,2,"Trang cung cấp thông tin tổng hợp về điểm chuẩn năm 2025 của Trường Đại học Y Dược TP.HCM, tuy nhiên chỉ liệt kê một số ngành tiêu biểu. Các ngành khác như Hộ sinh, Dinh dưỡng, Y học dự phòng, Y học c"
DQC,Trường Đại học Quảng Bình,https://navigates.vn/truong-hoc/dai-hoc-quang-binh/diem-chuan/,success,15,Dữ liệu điểm chuẩn năm 2025 đã được trích xuất thành công từ bảng điểm thi THPT trong nội dung trang.
DPT,Trường Đại học Phan Thiết,https://navigates.vn/truong-hoc/dai-hoc-phan-thiet/diem-chuan/,success,15,Dữ liệu điểm chuẩn năm 2025 được trích xuất từ bảng công bố chính thức của trường Đại học Phan Thiết trên trang navigates.vn.
LDA,Trường Đại học Lao động - Xã hội,https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-lao-dong-xa-hoi-co-so-phia-nam-DLS.html,success,14,Dữ liệu điểm chuẩn năm 2025 của Trường Đại học Lao động - Xã hội (Cơ sở II) đã được trích xuất thành công từ nội dung trang.
