university_code,major_name,inferred_method,rule_used
DPT,Công nghệ thông tin,diem_thi_thpt,5
DHP,Điện tự động công nghiệp,diem_thi_thpt,6
DHP,Điện công nghiệp và dân dụng,diem_thi_thpt,6
DHP,Công nghệ kỹ thuật cơ điện tử,diem_thi_thpt,6
DHP,Công nghệ chế tạo máy,diem_thi_thpt,6
DHP,Tài chính doanh nghiệp,diem_thi_thpt,6
DHP,Thương mại điện tử,diem_thi_thpt,6
DHP,Marketing số,diem_thi_thpt,6
DHP,"Công nghệ điện tử, vi mạch và bán dẫn (CLC)",diem_thi_thpt,6
DHP,Luật,diem_thi_thpt,6
DHP,Quản trị tài chính kế toán,diem_thi_thpt,6
DHP,Kế toán doanh nghiệp (theo định hướng ACCA) - CLC,diem_thi_thpt,6
DHP,Kinh doanh số và đổi mới sáng tạo (CLC),diem_thi_thpt,6
DHP,Quản trị kinh doanh,diem_thi_thpt,6
DHP,Xây dựng dân dụng và công nghiệp,diem_thi_thpt,6
DHP,Trí tuệ nhân tạo và khoa học dữ liệu,diem_thi_thpt,6
DHP,Công nghệ thông tin,diem_thi_thpt,6
DHP,Thiết kế Game và Multimedia (CLC),diem_thi_thpt,6
DPT,Quản trị dịch vụ du lịch và lữ hành,diem_thi_thpt,5
DPT,Quản trị khách sạn,diem_thi_thpt,5
DPT,Quản trị nhà hàng và dịch vụ ăn uống,diem_thi_thpt,5
DNV,QUẢN LÝ XÂY DỰNG,diem_thi_thpt,6
DNV,QUẢN LÝ BẤT ĐỘNG SẢN,diem_thi_thpt,6
DNV,KINH TẾ ĐẦU TƯ,diem_thi_thpt,6
DNV,KINH TẾ PHÁT TRIỂN,diem_thi_thpt,6
DNV,QUẢN LÝ VẬN TẢI VÀ LOGISTICS,diem_thi_thpt,6
DNV,CÔNG NGHỆ THÔNG TIN,diem_thi_thpt,6
DNV,CÔNG  NGHỆ ĐA PHƯƠNG TIỆN,diem_thi_thpt,6
DNV,KINH TẾ XÂY DỰNG,diem_thi_thpt,6
DNV,ĐƯỜNG SẮT TỐC ĐỘ CAO VÀ ĐÔ THỊ,diem_thi_thpt,6
DNV,CÔNG NGHỆ GAME,diem_thi_thpt,6
DNV,KỸ THUẬT CẤP THOÁT NƯỚC,diem_thi_thpt,6
DPT,Logistics và Quản lý chuỗi cung ứng,diem_thi_thpt,5
VHH,Kinh doanh xuất bản phẩm,diem_thi_thpt,5
DPT,Luật,diem_thi_thpt,5
VHH,Văn hóa du lịch,diem_thi_thpt,5
DHK,Công nghệ Sinh học (Chương trình tăng cường tiếng Anh),diem_thi_thpt,5
DDT,Khoa học Máy tính,diem_thi_thpt,6
DDT,Quản trị Kinh doanh,diem_thi_thpt,6
CPS,Công nghệ Kỹ thuật ô tô,diem_thi_thpt,6
CPS,Công nghệ Kỹ thuật nhiệt,diem_thi_thpt,6
CPS,Năng lượng tái tạo,diem_thi_thpt,6
CPS,Robot và trí tuệ nhân tạo,diem_thi_thpt,6
CPS,Công nghệ chế tạo máy,diem_thi_thpt,6
CPS,Công nghệ Kỹ thuật cơ điện tử,diem_thi_thpt,6
CPS,Công nghệ Kỹ thuật cơ khí,diem_thi_thpt,6
CPS,Kỹ thuật công nghiệp,diem_thi_thpt,6
CPS,Kỹ nghệ gỗ và nội thất,diem_thi_thpt,6
CPS,Cơ khí - Tự động hóa,diem_thi_thpt,6
CPS,Công nghệ thông tin,diem_thi_thpt,6
CPS,An toàn thông tin,diem_thi_thpt,6
CPS,Kỹ thuật dữ liệu,diem_thi_thpt,6
CPS,"Công nghệ Kỹ thuật điện, điện tử",diem_thi_thpt,6
CPS,Công nghệ Kỹ thuật điện tử - viễn thông,diem_thi_thpt,6
CPS,Công nghệ Kỹ thuật máy tính,diem_thi_thpt,6
CPS,Công nghệ Kỹ thuật điều khiển và tự động hóa,diem_thi_thpt,6
CPS,Kỹ thuật y sinh (Điện tử y sinh),diem_thi_thpt,6
CPS,Hệ thống nhúng và IoT,diem_thi_thpt,6
CPS,Kỹ thuật Thiết kế vi mạch,diem_thi_thpt,6
CPS,Công nghệ Kỹ thuật môi trường,diem_thi_thpt,6
CPS,Công nghệ thực phẩm,diem_thi_thpt,6
CPS,Công nghệ Kỹ thuật hóa học,diem_thi_thpt,6
CPS,Dinh dưỡng và Khoa học thực phẩm,diem_thi_thpt,6
CPS,Quản lý tài nguyên và môi trường,diem_thi_thpt,6
CPS,Quản lý công nghiệp,diem_thi_thpt,6
CPS,Kế toán,diem_thi_thpt,6
CPS,Thương mại điện tử,diem_thi_thpt,6
CPS,Logistics và quản lý chuỗi cung ứng,diem_thi_thpt,6
CPS,Kinh doanh Quốc tế,diem_thi_thpt,6
CPS,Công nghệ tài chính,diem_thi_thpt,6
CPS,Quản trị Kinh doanh,diem_thi_thpt,6
CPS,Công nghệ may,diem_thi_thpt,6
CPS,Quản trị NH và DV ăn uống,diem_thi_thpt,6
CPS,Thiết kế thời trang,diem_thi_thpt,6
CPS,Công nghệ Kỹ thuật công trình xây dựng,diem_thi_thpt,6
CPS,Kỹ thuật xây dựng công trình giao thông,diem_thi_thpt,6
CPS,Quản lý xây dựng,diem_thi_thpt,6
CPS,Hệ thống kỹ thuật công trình xây dựng,diem_thi_thpt,6
CPS,Quản lý và vận hành hạ tầng,diem_thi_thpt,6
CPS,Kiến trúc,diem_thi_thpt,6
CPS,Kiến trúc nội thất,diem_thi_thpt,6
CPS,Công nghệ Kỹ thuật in,diem_thi_thpt,6
CPS,Thiết kế đồ họa,diem_thi_thpt,6
CPS,Công nghệ truyền thông,diem_thi_thpt,6
CPS,Sư phạm tiếng Anh,diem_thi_thpt,6
CPS,Ngôn ngữ Anh,diem_thi_thpt,6
CPS,Công nghệ vật liệu,diem_thi_thpt,6
CPS,Vật lý Kỹ thuật,diem_thi_thpt,6
CPS,Luật,diem_thi_thpt,6
CPS,Sư phạm công nghệ,diem_thi_thpt,6
CPS,Tâm lý học giáo dục,diem_thi_thpt,6
DAG,Bảo vệ Thực vật,diem_thi_thpt,5
DAG,Chăn nuôi,diem_thi_thpt,5
DAG,Chính trị học,diem_thi_thpt,5
DAG,Công nghệ Kỹ thuật Hóa học,diem_thi_thpt,5
DAG,Công nghệ Kỹ thuật Môi trường,diem_thi_thpt,5
DAG,Công nghệ Nông nghiệp số,diem_thi_thpt,5
DAG,Công nghệ sau thu hoạch,diem_thi_thpt,5
DAG,Công nghệ Sinh học,diem_thi_thpt,5
DAG,Công nghệ Thông tin,diem_thi_thpt,5
DAG,Công nghệ Thực phẩm,diem_thi_thpt,5
DAG,Đảm bảo chất lượng và An toàn thực phẩm,diem_thi_thpt,5
DAG,Giáo dục Chính trị,diem_thi_thpt,5
DAG,Giáo dục Mầm non,diem_thi_thpt,5
DAG,Giáo dục Tiểu học,diem_thi_thpt,5
DAG,Khoa học Cây trồng,diem_thi_thpt,5
DAG,Khoa học Dữ liệu,diem_thi_thpt,5
DAG,Kinh doanh doanh Nông nghiệp số,diem_thi_thpt,5
DAG,Kinh tế Quốc tế,diem_thi_thpt,5
DAG,Kế toán,diem_thi_thpt,5
DAG,Kỹ thuật Phần mềm,diem_thi_thpt,5
DAG,Luật,diem_thi_thpt,5
DAG,Marketing,diem_thi_thpt,5
DAG,Ngôn ngữ Anh,diem_thi_thpt,5
DAG,Nuôi trồng Thủy sản,diem_thi_thpt,5
DAG,Phát triển nông thôn,diem_thi_thpt,5
DAG,Quản lý Tài nguyên và Môi trường,diem_thi_thpt,5
DAG,Quản trị Kinh doanh,diem_thi_thpt,5
DAG,Sư phạm Địa lý,diem_thi_thpt,5
DAG,Sư phạm Hóa học,diem_thi_thpt,5
DAG,Sư phạm Khoa học tự nhiên,diem_thi_thpt,5
DAG,Sư phạm Lịch sử,diem_thi_thpt,5
DAG,Sư phạm Lịch sử - Địa lý,diem_thi_thpt,5
DAG,Sư phạm Ngữ văn,diem_thi_thpt,5
DAG,Sư phạm Sinh học,diem_thi_thpt,5
DAG,Sư phạm Tiếng Anh,diem_thi_thpt,5
DAG,Sư phạm Toán học,diem_thi_thpt,5
DAG,Sư phạm Vật lý,diem_thi_thpt,5
DAG,Thương mại Điện tử,diem_thi_thpt,5
DAG,Thú y,diem_thi_thpt,5
DAG,Triết học,diem_thi_thpt,5
DDT,Kỹ thuật Môi trường,diem_thi_thpt,6
DAG,Tài chính - Ngân hàng,diem_thi_thpt,5
DAG,Văn học,diem_thi_thpt,5
DAG,Việt Nam học,diem_thi_thpt,5
DDT,Luật kinh tế,diem_thi_thpt,6
DDT,Quản trị Dịch vụ Du lịch và Lữ hành,diem_thi_thpt,6
DDT,Điều dưỡng quốc tế,diem_thi_thpt,6
DDT,Khoa học máy tính,diem_thi_thpt,6
DDT,Quản trị Kinh doanh,diem_thi_thpt,6
DDT,Kế toán,diem_thi_thpt,6
DDT,Kỹ thuật Xây dựng,diem_thi_thpt,6
DDT,Quan hệ Quốc tế,diem_thi_thpt,6
DDT,Tài chính Ngân hàng,diem_thi_thpt,6
DDT,Tổ chức Quản lý Dược,diem_thi_thpt,6
DDT,Văn học,diem_thi_thpt,6
DDT,Kỹ thuật Điện tử,diem_thi_thpt,6
DDT,Kế toán,diem_thi_thpt,6
DDT,Kỹ thuật Xây dựng,diem_thi_thpt,6
DDT,Tài chính Ngân hàng,diem_thi_thpt,6
DDT,Quan hệ Quốc tế,diem_thi_thpt,6
DDT,Điều dưỡng Quốc tế Đại học Fooyin (Đài Loan),diem_thi_thpt,6
DDT,Tổ chức Quản lý Dược,diem_thi_thpt,6
DDT,Văn học,diem_thi_thpt,6
DDT,Kỹ thuật Điện tử,diem_thi_thpt,6
DDT,Kỹ thuật Môi trường,diem_thi_thpt,6
DDT,Luật kinh tế,diem_thi_thpt,6
DDT,Quản trị Dịch vụ Du lịch và Lữ hành,diem_thi_thpt,6
DHP,Giáo dục Tiểu học,diem_thi_thpt,6
DHP,Kế toán kiểm toán,diem_thi_thpt,6
DHP,Giáo dục Mầm non,diem_thi_thpt,6
DHK,Sinh học,diem_thi_thpt,5
DHK,Sinh học (Chương trình tăng cường tiếng Anh),diem_thi_thpt,5
DHK,Công nghệ Sinh học,diem_thi_thpt,5
DHP,Kiến trúc,diem_thi_thpt,6
DHK,Vật lý học (Chương trình tăng cường tiếng Anh),diem_thi_thpt,5
DHK,Công nghệ bán dẫn,diem_thi_thpt,5
DHK,Hoá học,diem_thi_thpt,5
DHK,Hóa học (Chương trình tăng cường tiếng Anh),diem_thi_thpt,5
DHK,Khoa học máy tính (Chương trình Tiên tiến),diem_thi_thpt,5
DHK,Thiết kế vi mạch,diem_thi_thpt,5
DHP,Kế toán doanh nghiệp,diem_thi_thpt,6
DHP,Quản trị kinh doanh quốc tế (CLC),diem_thi_thpt,6
DHP,Hướng dẫn du lịch,diem_thi_thpt,6
DHP,"Quản trị Lữ hành, Khách sạn",diem_thi_thpt,6
DHP,Quản trị Dịch vụ Du lịch và Lữ hành,diem_thi_thpt,6
DHP,Logistics và vận tải đa phương thức,diem_thi_thpt,6
DHP,Quản lý kinh tế,diem_thi_thpt,6
DHP,Kinh tế ngoại thương,diem_thi_thpt,6
