code,name,prog_2026,benchmarks,tuition,missing
BTU,Trường Đại học Bình Dương,18,0,18,điểm chuẩn
CSH,Học viện Cảnh sát Nhân dân,10,0,10,điểm chuẩn
DDT,Trường Đại học Duy Tân,58,0,0,điểm chuẩn + học phí
DED,Trường Đại học Sư phạm - Đại học Đà Nẵng,33,33,0,học phí
DHP,Trường Đại học Hải Phòng,37,8,0,học phí
DPH,Trường Đại học Phạm Văn Đồng,14,28,0,học phí
DQL,Trường Đại học Luật Thành phố Hồ Chí Minh,11,1,0,học phí
HAU,Trường Đại học Kiến trúc Hà Nội,29,38,0,học phí
HBT,Trường Đại học Công nghệ Sài Gòn,19,0,2,điểm chuẩn
HHA,Trường Đại học Hàng hải Việt Nam,58,6,0,học phí
KMA,Học viện Kỹ thuật Mật mã,4,4,0,học phí
KTC,Trường Đại học Kinh tế - Tài chính Thành phố Hồ Chí Minh,42,0,42,điểm chuẩn
LDA,Trường Đại học Lao động - Xã hội,14,11,0,học phí
MSH,Trường Đại học Mỹ thuật Thành phố Hồ Chí Minh,6,5,0,học phí
OU,Trường Đại học Mở Thành phố Hồ Chí Minh,64,0,64,điểm chuẩn
QHT,Trường Đại học Khoa học Tự nhiên - Đại học Quốc gia Hà Nội,28,28,0,học phí
QSK,Trường Đại học Kinh tế - Luật - Đại học Quốc gia Thành phố Hồ Chí Minh,40,0,40,điểm chuẩn
RMIT,Trường Đại học RMIT Việt Nam,17,0,17,điểm chuẩn
SGD,Trường Đại học Sài Gòn,48,0,0,điểm chuẩn + học phí
TBU,Trường Đại học Tây Bắc,31,25,0,học phí
TDTU,Trường Đại học Tôn Đức Thắng,51,0,0,điểm chuẩn + học phí
UNETI,Trường Đại học Kinh tế - Kỹ thuật Công nghiệp,49,50,0,học phí
VLU,Trường Đại học Văn Lang,54,0,54,điểm chuẩn
XSH,Trường Đại học Khoa học Xã hội và Nhân văn - Đại học Quốc gia Thành phố Hồ Chí Minh,62,0,62,điểm chuẩn
