university_code,final_tier,status,num_records,review_status
BKA,3,success,106,pending
KHA,2,needs_manual_review,0,needs_manual_review
QST,2,partial,2,needs_manual_review
QGH,2,success,17,pending
FTU,3,partial,6,needs_manual_review
DDK,2,partial,2,needs_manual_review
DCD,2,partial,7,needs_manual_review
DQS,3,needs_manual_review,0,needs_manual_review
DBS,2,success,33,pending
NLS,3,needs_manual_review,0,needs_manual_review
TMA,1,needs_manual_review,0,needs_manual_review
AOF,2,success,1,pending
BAA,2,needs_manual_review,0,needs_manual_review
DGH,0,timeout,0,needs_manual_review
CPS,2,partial,52,needs_manual_review
DGD,3,partial,23,needs_manual_review
DCN,1,success,4,pending
MTA,3,needs_manual_review,0,needs_manual_review
BVH,2,success,7,pending
TLA,3,needs_manual_review,0,needs_manual_review
GTA,3,needs_manual_review,0,needs_manual_review
XDA,2,partial,3,needs_manual_review
LDA,2,partial,14,needs_manual_review
DHF,2,needs_manual_review,0,needs_manual_review
DPX,2,success,10,pending
YHB,2,needs_manual_review,0,needs_manual_review
YDS,3,success,18,pending
TDB,2,partial,2,needs_manual_review
CTS,2,partial,6,needs_manual_review
HHA,2,partial,10,needs_manual_review
VHH,2,success,14,pending
VHS,2,needs_manual_review,0,needs_manual_review
DLU,2,needs_manual_review,0,needs_manual_review
DTD,1,success,5,pending
NTT,2,partial,8,needs_manual_review
DVL,2,needs_manual_review,0,needs_manual_review
DTH,2,success,34,pending
HBT,3,success,1,pending
DPT,2,success,16,pending
DCG,1,needs_manual_review,0,needs_manual_review
DNT,2,partial,23,needs_manual_review
HIU,2,partial,15,needs_manual_review
HUTECH,2,partial,17,needs_manual_review
DUE,1,needs_manual_review,0,needs_manual_review
DFL,2,success,61,pending
DTE,2,needs_manual_review,0,needs_manual_review
DED,3,success,33,pending
TTU,0,timeout,0,needs_manual_review
VGU,1,needs_manual_review,0,needs_manual_review
BUV,1,needs_manual_review,0,needs_manual_review
FPT,2,partial,38,needs_manual_review
VUN,1,needs_manual_review,0,needs_manual_review
DDT,2,partial,26,needs_manual_review
THU,2,partial,14,needs_manual_review
DLH,2,partial,2,needs_manual_review
DTC,2,partial,13,needs_manual_review
TDM,2,success,5,pending
BPU,2,needs_manual_review,0,needs_manual_review
DBH,2,success,22,pending
DHK,2,success,49,pending
DGH,2,partial,10,needs_manual_review
TTU,1,needs_manual_review,0,needs_manual_review
XSH,2,partial,67,needs_manual_review
DQL,2,partial,11,needs_manual_review
QHL,2,success,8,pending
QHE,1,needs_manual_review,0,needs_manual_review
QHT,1,success,28,pending
QHX,2,needs_manual_review,0,needs_manual_review
QHI,2,success,26,pending
QHF,2,partial,10,needs_manual_review
YHD,2,success,6,pending
QHD,2,success,5,pending
DYV,1,needs_manual_review,0,needs_manual_review
YTB,2,needs_manual_review,0,needs_manual_review
YHP,2,partial,1,needs_manual_review
YCT,1,needs_manual_review,0,needs_manual_review
YDN,2,partial,7,needs_manual_review
DHA,2,partial,6,needs_manual_review
VKA,3,success,11,pending
HCV,2,partial,4,needs_manual_review
BCH,1,needs_manual_review,0,needs_manual_review
DNV,2,partial,22,needs_manual_review
MDA,2,partial,45,needs_manual_review
MTU,2,needs_manual_review,0,needs_manual_review
KTA,2,needs_manual_review,0,needs_manual_review
MHT,2,needs_manual_review,0,needs_manual_review
MSH,2,partial,12,needs_manual_review
NHA,2,success,16,pending
NSP,1,needs_manual_review,0,needs_manual_review
SKD,2,partial,16,needs_manual_review
TKG,2,success,126,pending
DTT,1,needs_manual_review,0,needs_manual_review
DAG,2,partial,43,needs_manual_review
DQN,2,success,56,pending
DHP,2,partial,37,needs_manual_review
DTB,2,needs_manual_review,0,needs_manual_review
DHD,1,needs_manual_review,0,needs_manual_review
HLU,2,partial,29,needs_manual_review
DHV,1,needs_manual_review,0,needs_manual_review
TQU,3,partial,19,needs_manual_review
DHT,1,needs_manual_review,0,needs_manual_review
DQC,2,partial,17,needs_manual_review
